country,year,sex,age,suicides_no,population,suicides_per_100k
Albania,2008,female,15-24 years,20,276073.0,7.244460704234025
Albania,2008,female,25-34 years,9,182663.0,4.9271062010368825
Albania,2008,female,35-54 years,19,393832.0,4.824392126592049
Albania,2008,female,5-14 years,1,246288.0,0.4060287143506789
Albania,2008,female,55-74 years,7,226448.0,3.0912174097364513
Albania,2008,female,75+ years,5,59369.0,8.421903687109435
Albania,2008,male,15-24 years,11,286702.0,3.836736402257396
Albania,2008,male,25-34 years,21,172855.0,12.148910936912442
Albania,2008,male,35-54 years,37,377119.0,9.811226695021995
Albania,2008,male,5-14 years,7,262464.0,2.6670324311143623
Albania,2008,male,55-74 years,21,228672.0,9.183459277917716
Albania,2008,male,75+ years,2,44574.0,4.486920626374119
Albania,2009,female,15-24 years,0,270003.0,0.0
Albania,2009,female,25-34 years,0,182712.0,0.0
Albania,2009,female,35-54 years,0,394286.0,0.0
Albania,2009,female,5-14 years,0,236174.0,0.0
Albania,2009,female,55-74 years,0,233302.0,0.0
Albania,2009,female,75+ years,0,61582.0,0.0
Albania,2009,male,15-24 years,0,283448.0,0.0
Albania,2009,male,25-34 years,0,174955.0,0.0
Albania,2009,male,35-54 years,0,374365.0,0.0
Albania,2009,male,5-14 years,0,253007.0,0.0
Albania,2009,male,55-74 years,0,234570.0,0.0
Albania,2009,male,75+ years,0,47331.0,0.0
Albania,2010,female,15-24 years,6,263581.0,2.2763401003865984
Albania,2010,female,25-34 years,6,183579.0,3.268347686826925
Albania,2010,female,35-54 years,12,394593.0,3.0411081798207267
Albania,2010,female,5-14 years,2,223969.0,0.8929807250110506
Albania,2010,female,55-74 years,7,241491.0,2.8986587491873403
Albania,2010,female,75+ years,2,64415.0,3.10486687883257
Albania,2010,male,15-24 years,10,279508.0,3.577715128010647
Albania,2010,male,25-34 years,9,179720.0,5.0077898953928335
Albania,2010,male,35-54 years,20,371611.0,5.381972008363585
Albania,2010,male,5-14 years,0,240939.0,0.0
Albania,2010,male,55-74 years,20,241852.0,8.269520202437855
Albania,2010,male,75+ years,2,50767.0,3.93956704158213
Albania,2011,female,15-24 years,7,258006.0,2.713115198871344
Albania,2011,female,25-34 years,7,184556.0,3.7928867118923253
Albania,2011,female,35-54 years,7,394638.0,1.7737774872161323
Albania,2011,female,5-14 years,7,210822.0,3.320336587263189
Albania,2011,female,55-74 years,7,250641.0,2.792839160392753
Albania,2011,female,75+ years,7,67649.0,10.347529157858949
Albania,2011,male,15-24 years,7,275385.0,2.5418958912068557
Albania,2011,male,25-34 years,7,185898.0,3.7655058150168372
Albania,2011,male,35-54 years,7,368950.0,1.8972760536658082
Albania,2011,male,5-14 years,7,228071.0,3.069219672821183
Albania,2011,male,55-74 years,7,250362.0,2.795951462282615
Albania,2011,male,75+ years,7,54228.0,12.908460573873276
Albania,2012,female,15-24 years,7,249730.0,2.803027269451007
Albania,2012,female,25-34 years,7,187346.0,3.736402164978169
Albania,2012,female,35-54 years,7,395819.0,1.7684850904074843
Albania,2012,female,5-14 years,7,198385.0,3.5284925775638283
Albania,2012,female,55-74 years,7,259751.0,2.6948885663577813
Albania,2012,female,75+ years,7,69811.0,10.02707309736288
Albania,2012,male,15-24 years,7,268954.0,2.602675550465879
Albania,2012,male,25-34 years,7,194250.0,3.6036036036036037
Albania,2012,male,35-54 years,7,369536.0,1.894267405611361
Albania,2012,male,5-14 years,7,215894.0,3.2423318850917577
Albania,2012,male,55-74 years,7,259056.0,2.7021184608733244
Albania,2012,male,75+ years,7,56701.0,12.345461279342516
Albania,2013,female,15-24 years,7,237550.0,2.946748053041465
Albania,2013,female,25-34 years,7,191853.0,3.648626813237218
Albania,2013,female,35-54 years,7,397517.0,1.760930979052468
Albania,2013,female,5-14 years,7,187558.0,3.732178846010301
Albania,2013,female,55-74 years,7,269026.0,2.601978990878205
Albania,2013,female,75+ years,7,71601.0,9.77639977095292
Albania,2013,male,15-24 years,7,259826.0,2.6941106740664904
Albania,2013,male,25-34 years,7,204491.0,3.4231335364392566
Albania,2013,male,35-54 years,7,372005.0,1.8816951385062026
